,date,open,close
599,2012-09-28,4.304,4.363
600,2012-10-08,4.367,4.307
601,2012-10-09,4.32,4.417
602,2012-10-10,4.417,4.417
603,2012-10-11,4.42,4.393
604,2012-10-12,4.41,4.417
605,2012-10-15,4.42,4.354
606,2012-10-16,4.363,4.393
607,2012-10-17,4.41,4.44
608,2012-10-18,4.447,4.49
609,2012-10-19,4.494,4.497
610,2012-10-22,4.48,4.51
611,2012-10-23,4.514,4.453
612,2012-10-24,4.443,4.45
613,2012-10-25,4.46,4.423
614,2012-10-26,4.443,4.33
615,2012-10-29,4.319,4.333
616,2012-10-30,4.333,4.383
617,2012-10-31,4.393,4.407
618,2012-11-01,4.407,4.48
619,2012-11-02,4.48,4.53
620,2012-11-05,4.534,4.557
621,2012-11-06,4.55,4.547
622,2012-11-07,4.524,4.537
623,2012-11-08,4.5,4.48
624,2012-11-09,4.477,4.494
625,2012-11-12,4.484,4.561
626,2012-11-13,4.557,4.494
627,2012-11-14,4.52,4.48
628,2012-11-15,4.453,4.403
629,2012-11-16,4.386,4.386
630,2012-11-19,4.36,4.383
631,2012-11-20,4.383,4.38
632,2012-11-21,4.366,4.44
633,2012-11-22,4.433,4.403
634,2012-11-23,4.417,4.44
635,2012-11-26,4.433,4.396
636,2012-11-27,4.38,4.413
637,2012-11-28,4.393,4.383
638,2012-11-29,4.383,4.266
639,2012-11-30,4.252,4.286
640,2012-12-03,4.289,4.206
641,2012-12-04,4.206,4.252
642,2012-12-05,4.239,4.484
643,2012-12-06,4.47,4.524
644,2012-12-07,4.524,4.694
645,2012-12-10,4.738,4.795
646,2012-12-11,4.755,4.725
647,2012-12-12,4.731,4.768
648,2012-12-13,4.751,4.708
649,2012-12-14,4.701,5.083
650,2012-12-17,5.09,5.096
651,2012-12-18,5.073,5.106
652,2012-12-19,5.09,5.083
653,2012-12-20,5.056,5.059
654,2012-12-21,5.049,4.979
655,2012-12-24,4.969,4.996
656,2012-12-25,4.986,5.16
657,2012-12-26,5.157,5.147
658,2012-12-27,5.167,5.183
659,2012-12-28,5.173,5.224
660,2012-12-31,5.26,5.364
661,2013-01-04,5.465,5.354
662,2013-01-07,5.351,5.458
663,2013-01-08,5.458,5.357
664,2013-01-09,5.344,5.311
665,2013-01-10,5.311,5.314
666,2013-01-11,5.314,5.203
667,2013-01-14,5.187,5.722
668,2013-01-15,5.732,5.897
669,2013-01-16,5.897,5.967
670,2013-01-17,5.927,5.94
671,2013-01-18,5.984,6.138
672,2013-01-21,6.128,6.596
673,2013-01-22,6.516,6.858
674,2013-01-23,6.7,6.714
675,2013-01-24,6.707,6.513
676,2013-01-25,6.529,6.412
677,2013-01-28,6.416,7.055
678,2013-01-29,7.132,7.159
679,2013-01-30,7.065,7.142
680,2013-01-31,7.122,7.065
681,2013-02-01,7.038,7.51
682,2013-02-04,7.454,7.37
683,2013-02-05,7.279,7.293
684,2013-02-06,7.266,7.32
685,2013-02-07,7.266,6.981
686,2013-02-08,6.958,6.948
687,2013-02-18,7.002,6.998
688,2013-02-19,6.965,6.968
689,2013-02-20,6.981,6.797
690,2013-02-21,6.697,6.563
691,2013-02-22,6.529,6.402
692,2013-02-25,6.449,6.7
693,2013-02-26,6.633,6.981
694,2013-02-27,7.035,7.038
695,2013-02-28,7.079,7.701
696,2013-03-01,7.678,7.721
697,2013-03-04,7.517,7.283
698,2013-03-05,7.3,8.013
699,2013-03-06,8.204,8.12
700,2013-03-07,8.019,7.949
701,2013-03-08,7.969,7.654
702,2013-03-11,7.608,7.577
703,2013-03-12,7.567,7.273
704,2013-03-13,7.263,7.397
705,2013-03-14,7.366,7.256
706,2013-03-15,7.253,7.433
707,2013-03-18,7.266,7.149
